y(t-1),y(t-2),y(t-3),y(t)
0,0,0,32
32,0,0,27
27,32,0,27
27,27,32,25
25,27,27,27
27,25,27,31
31,27,25,32
32,31,27,29
29,32,31,34
34,29,32,33
33,34,29,32
32,33,34,34
34,32,33,34
34,34,32,34
34,34,34,34
34,34,34,35
35,34,34,36
36,35,34,34
34,36,35,31
31,34,36,31
31,31,34,30
30,31,31,28
28,30,31,29
29,28,30,29
29,29,28,29
29,29,29,29
29,29,29,29
29,29,29,28
28,29,29,28
28,28,29,27
27,28,28,27
27,27,28,29
29,27,27,29
29,29,27,29
29,29,29,29
29,29,29,29
29,29,29,32
32,29,29,34
34,32,29,42
42,34,32,48
48,42,34,51
51,48,42,53
53,51,48,53
53,53,51,53
53,53,53,51
51,53,53,50
50,51,53,47
47,50,51,47
47,47,50,49
49,47,47,51
51,49,47,54
54,51,49,60
60,54,51,62
62,60,54,65
65,62,60,65
65,65,62,66
66,65,65,62
62,66,65,54
54,62,66,51
51,54,62,51
51,51,54,56
56,51,51,66
66,56,51,74
74,66,56,78
78,74,66,85
85,78,74,96
96,85,78,103
103,96,85,111
111,103,96,117
117,111,103,103
103,117,111,100
100,103,117,100
100,100,103,100
100,100,100,96
96,100,100,88
88,96,100,81
81,88,96,84
84,81,88,92
92,84,81,96
96,92,84,85
85,96,92,81
81,85,96,96
96,81,85,100
100,96,81,100
100,100,96,105
105,100,100,100
100,105,100,100
100,100,105,93
93,100,100,96
96,93,100,100
100,96,93,100
100,100,96,100
100,100,100,92
92,100,100,78
78,92,100,74
74,78,92,85
85,74,78,92
92,85,74,93
93,92,85,96
96,93,92,96
96,96,93,92
92,96,96,97
97,92,96,97
97,97,92,96
96,97,97,92
92,96,97,92
92,92,96,90
90,92,92,90
90,90,92,92
92,90,90,90
90,92,90,91
91,90,92,93
93,91,90,93
93,93,91,94
94,93,93,97
97,94,93,95
95,97,94,94
94,95,97,94
94,94,95,93
93,94,94,92
92,93,94,88
88,92,93,87
87,88,92,91
91,87,88,110
110,91,87,250
250,110,91,220
220,250,110,146
146,220,250,130
130,146,220,128
128,130,146,119
119,128,130,108
108,119,128,99
99,108,119,95
95,99,108,89
89,95,99,87
87,89,95,89
89,87,89,87
87,89,87,88
88,87,89,84
84,88,87,84
84,84,88,83
83,84,84,82
82,83,84,80
80,82,83,80
80,80,82,85
85,80,80,85
85,85,80,78
78,85,85,70
70,78,85,72
72,70,78,78
78,72,70,78
78,78,72,74
74,78,78,70
70,74,78,63
63,70,74,64
64,63,70,66
66,64,63,65
65,66,64,56
56,65,66,55
55,56,65,54
54,55,56,52
52,54,55,46
46,52,54,40
40,46,52,38
38,40,46,40
40,38,40,38
38,40,38,36
36,38,40,37
37,36,38,38
38,37,36,37
37,38,37,36
36,37,38,35
35,36,37,33
33,35,36,33
33,33,35,32
32,33,33,31
31,32,33,31
31,31,32,31
31,31,31,30
30,31,31,30
30,30,31,30
30,30,30,29
29,30,30,29
29,29,30,29
29,29,29,28
28,29,29,30
